Generation, Population, AVG_speed, AVG_size, AVG_sense 
716,45,1.4,10,109.8
717,45,1.6,9.9,115.6
718,42,1.6,9.5,110.7
719,47,1.3,9.3,112.1
720,44,1.4,9.4,108.6
721,31,1.5,10.4,106.5
722,40,1.5,8.6,108
723,48,1.6,9.1,115.7
724,49,1.6,10.6,113.8
725,48,1.4,10.1,109.8
726,41,1.4,9.1,108.9
727,50,1.6,9.8,115.4
728,38,1.5,10.1,106.8
729,43,1.7,10.3,114.2
730,37,1.5,9.4,114.8
731,40,1.6,10,105.4
732,46,1.6,9,112.7
733,39,1.6,9.2,109.7
734,44,1.6,10.1,114
735,48,1.5,9.6,114.7
736,49,1.5,9.4,112.7
737,48,1.6,9.8,117.2
738,45,1.4,9.6,112.6
739,46,1.5,9,108.7
740,45,1.4,9.7,113.5
741,42,1.4,9.5,106.2
742,35,1.7,9.5,116
743,42,1.4,9.4,114.5
744,46,1.6,10.2,113.6
745,50,1.5,9.6,108.5
746,49,1.4,8.9,114.6
747,45,1.4,9.4,114.8
748,48,1.5,9.5,114.8
749,47,1.4,9.3,110.4
750,46,1.5,9,113.2
751,49,1.5,9.5,113.9
752,46,1.4,10,111.4
753,47,1.6,9.4,109
754,50,1.6,9,112.4
755,43,1.6,9.8,113.1
756,46,1.5,9.5,113.3
757,43,1.4,8.4,113.9
758,46,1.5,8.6,111.7
759,45,1.4,9.8,111.2
760,50,1.5,9.5,114.1
761,49,1.5,9.5,112.5
762,48,1.5,8.9,108.4
763,49,1.6,9.3,109.2
764,45,1.7,9,114.5
765,46,1.5,9.3,113.2
766,43,1.6,9,113.4
767,49,1.3,10.2,113.1
768,41,1.5,9.9,114.1
769,50,1.4,9.4,110.8
770,49,1.6,9.6,118.9
771,44,1.4,9.1,112.1
772,42,1.5,9.9,112.1
773,48,1.5,9.1,115.9
774,50,1.6,9.2,106.6
775,42,1.5,9.2,113
776,48,1.5,9.9,111
777,45,1.6,9.6,113.1
778,45,1.5,10,112.3
779,44,1.6,9.6,113.3
780,46,1.5,9.3,115.2
781,49,1.4,9.7,113.7
782,45,1.5,10,106.2
783,45,1.5,9.8,119.5
784,47,1.6,9.8,116.6
785,48,1.5,9.6,113.9
786,49,1.4,9.5,112.2
787,46,1.5,9.5,113.7
788,49,1.6,9.4,115.7
789,43,1.6,9.9,109.5
790,43,1.6,10,114.6
791,40,1.5,9.4,106.4
792,44,1.5,9,113.7
793,49,1.4,9.7,113.3
794,40,1.5,10,111.3
795,41,1.5,9.2,106.8
796,45,1.6,9.4,116.7
797,51,1.6,9.7,114.8
798,44,1.5,9.2,113.8
799,48,1.6,9.4,111.5
800,35,1.4,9.2,111.2
801,43,1.5,9,113.1
802,42,1.5,9.6,113.5
803,46,1.5,9.5,112.8
804,44,1.5,9.3,111.2
805,50,1.4,9.6,109.5
806,42,1.5,8.8,108.7
807,41,1.4,9,108.9
808,47,1.4,9.2,112.6
809,51,1.5,9.5,107.9
810,48,1.5,8.5,114.8
811,47,1.6,10,114.1
812,45,1.5,10,113.4
813,44,1.5,9.1,109.5
814,48,1.6,10,109.7
815,46,1.4,9.2,109.3
816,48,1.4,9.6,107.4
817,46,1.5,10,105.1
818,36,1.7,9.7,113.5
819,44,1.4,10.6,110.6
820,47,1.5,10,110.7
821,44,1.5,9.9,114.2
822,44,1.5,9.6,113.4
823,49,1.6,9.3,106.6
824,46,1.5,10.3,115.5
825,44,1.5,9,115.4
826,47,1.5,9.4,109.7
827,46,1.5,9.3,111
828,49,1.6,9.8,115.2
829,48,1.6,9.9,113.1
830,39,1.5,9.3,109.3
831,43,1.5,8.7,111.8
832,51,1.5,9.7,113.3
833,39,1.5,9.9,108.1
834,48,1.5,9.3,109.5
